state_ut,year,month,latitude,longitude,wind,solar,biomass,hydro,air_temp,albedo,clearsky_dhi,clearsky_dni,clearsky_gti,cloud_opacity,dni,ghi,gti,precipitation_rate,relative_humidity,surface_pressure,wind_speed_100m,cluster
Sikkim ,2020,MAY,27.533,88.5122,0.0,0.0,0.0,0.0,13.94086021505376,0.1954301075268817,78.1760752688172,314.875,291.747311827957,49.44475806451613,51.76209677419355,154.0900537634409,148.0672043010753,0.7014784946236559,86.85712365591398,947.299059139785,1.081182795698925,0
Sikkim ,2020,JUN,27.533,88.5122,0.0,0.0,0.0,5.8,16.87361111111111,0.1913333333333333,57.79722222222222,368.1583333333334,289.3680555555555,53.99097222222223,56.00694444444444,152.1958333333333,144.0208333333333,1.09,90.10527777777779,945.4744444444444,1.037777777777778,0
Sikkim ,2020,JUL,27.533,88.5122,0.0,0.0,0.0,0.0,17.32795698924731,0.1929032258064516,54.26747311827957,373.1922043010753,292.8951612903226,64.22446236559139,33.12231182795699,135.5819892473118,129.5887096774194,1.839112903225806,92.5159946236559,945.4154569892473,1.0875,0
Sikkim ,2020,AUG,27.533,88.5122,0.0,0.0,0.0,0.0,17.77822580645161,0.1903225806451613,46.3508064516129,371.116935483871,298.9758064516129,53.92661290322581,91.70295698924731,184.5120967741935,180.4327956989247,1.128225806451613,89.52432795698925,945.3318548387097,1.063844086021505,0
Sikkim ,2020,SEP,27.533,88.5122,0.0,0.0,0.0,0.0,16.63888888888889,0.1933333333333333,51.93888888888889,324.3402777777778,290.5986111111111,57.67333333333334,56.84027777777778,125.2388888888889,127.5041666666667,1.243055555555556,90.11861111111111,947.6790277777778,0.9891666666666667,0
Sikkim ,2020,OCT,27.533,88.5122,0.0,0.0,0.0,0.0,14.53360215053763,0.1825268817204301,44.32258064516129,312.4435483870968,280.5174731182796,28.02741935483871,174.9569892473118,177.5618279569892,205.8494623655914,0.2274193548387097,83.08077956989247,949.6405913978494,1.003091397849462,0
Sikkim ,2020,NOV,27.533,88.5122,0.0,0.0,0.0,0.0,9.025,0.1796666666666666,42.20555555555556,281.7166666666666,254.7125,17.95486111111111,176.3805555555556,156.4208333333333,196.2277777777778,0.16,78.63861111111112,952.2091666666666,1.244583333333333,0
Sikkim ,2020,DEC,27.533,88.5122,0.0,0.0,0.0,0.0,6.544354838709677,0.18,50.23118279569893,222.9099462365591,221.0739247311828,29.43064516129033,109.7311827956989,118.2594086021505,147.9475806451613,0.1626344086021505,81.56935483870967,948.950806451613,1.390591397849462,0
Sikkim ,2021,JAN,27.533,88.5122,0.0,0.0,0.0,5.409,5.73252688172043,0.1839247311827957,55.70967741935484,219.3293010752688,225.508064516129,33.02271505376344,92.1989247311828,111.3360215053764,134.8158602150538,0.2205645161290322,83.98830645161291,947.4342741935484,1.452822580645161,0
Sikkim ,2021,FEB,27.533,88.5122,0.0,0.0,0.0,5.409,6.348214285714286,0.1917261904761905,72.41815476190476,215.3809523809524,243.4419642857143,30.58288690476191,74.15327380952381,120.9092261904762,135.4642857142857,0.2272321428571428,78.65788690476191,948.6354166666666,1.332291666666667,0
Sikkim ,2021,MAR,27.533,88.5122,0.0,0.0,0.0,1.02958,9.310483870967742,0.2251075268817204,98.60349462365592,188.0833333333333,249.739247311828,35.35591397849462,46.46236559139785,135.8225806451613,139.0013440860215,0.4576612903225806,86.12432795698925,948.0245967741936,1.311827956989247,0
Sikkim ,2021,APR,27.533,88.5122,0.0,0.0,0.0,1.02958,11.46666666666667,0.2218888888888889,105.2263888888889,220.7291666666667,271.9875,27.16722222222223,106.275,200.4375,200.1333333333333,0.3302777777777778,79.69611111111111,948.9329166666666,1.245416666666667,0
Sikkim ,2021,MAY,27.533,88.5122,0.0,0.0,0.0,1.02958,14.20698924731183,0.1995698924731183,84.5241935483871,297.5618279569892,285.8494623655914,47.48481182795699,53.13172043010753,153.0013440860215,145.9637096774194,0.8150537634408602,87.64583333333333,946.9625,1.120967741935484,0
Sikkim ,2021,JUN,27.533,88.5122,0.0,0.0,0.0,1.02958,17.0625,0.1913333333333333,59.21527777777778,366.3041666666667,290.7555555555555,58.66597222222222,52.39861111111111,148.6555555555556,140.8041666666667,0.9040277777777778,88.64472222222221,944.9477777777778,1.065555555555556,0
Sikkim ,2021,JUL,27.533,88.5122,0.0,0.0,0.0,1.02958,17.63709677419355,0.1912903225806452,55.06182795698925,372.1182795698925,292.6680107526882,61.8366935483871,54.06720430107527,156.763440860215,149.7405913978495,1.243145161290323,90.63817204301075,945.0379032258064,0.9880376344086022,0
Sikkim ,2021,AUG,27.533,88.5122,0.0,0.0,0.0,1.02958,17.46639784946236,0.1912903225806452,50.98387096774194,360.1478494623656,296.9650537634408,59.9760752688172,60.02284946236559,151.6209677419355,146.6465053763441,1.378629032258065,90.97137096774193,946.3534946236559,1.165860215053763,0
Sikkim ,2021,SEP,27.533,88.5122,0.0,0.0,0.0,1.02958,16.88472222222222,0.1913333333333333,44.68888888888889,346.1861111111111,296.0986111111111,46.67583333333333,119.8083333333333,183.3888888888889,190.125,0.4494444444444445,85.26166666666667,949.4029166666667,0.9541666666666667,0
Sikkim ,2021,OCT,27.533,88.5122,0.0,0.0,0.0,1.02958,14.43010752688172,0.1854301075268817,49.11559139784946,296.0255376344086,274.6989247311828,38.40282258064516,113.5954301075269,146.1559139784946,164.2069892473118,0.5646505376344086,85.57688172043011,950.149059139785,1.071102150537634,0
Sikkim ,2021,NOV,27.533,88.5122,0.0,0.0,0.0,1.02958,9.390277777777778,0.1799444444444444,53.51527777777778,237.9,238.6972222222222,26.22361111111111,104.9861111111111,134.0166666666667,158.1777777777778,0.1588888888888889,83.88083333333333,949.6375,1.225555555555556,0
Sikkim ,2021,DEC,27.533,88.5122,0.0,0.0,0.0,1.02958,5.68010752688172,0.1788709677419355,40.67069892473118,261.1465053763441,237.244623655914,23.23104838709678,148.4287634408602,130.258064516129,170.002688172043,0.2022849462365591,82.26021505376345,950.7819892473119,1.205913978494624,0
Sikkim ,2022,JAN,27.533,88.5122,0.0,0.0,0.0,0.0,3.282258064516129,0.193494623655914,54.61424731182796,227.7284946236559,230.2056451612903,35.62056451612904,73.88306451612904,107.9475806451613,126.633064516129,0.2720430107526882,82.53817204301076,947.1814516129032,1.223655913978495,0
Sikkim ,2022,FEB,27.533,88.5122,0.0,0.0,0.0,0.0,3.517857142857143,0.2244047619047619,70.55803571428571,226.0625,249.6696428571429,41.44241071428571,62.18452380952381,111.1383928571429,122.1741071428571,0.4407738095238095,83.64226190476191,945.374255952381,1.385565476190476,0
Sikkim ,2022,MAR,27.533,88.5122,0.0,11.27648,0.0,0.0,10.77822580645161,0.1944086021505377,83.09408602150538,237.9301075268817,269.7352150537635,27.86868279569892,112.491935483871,166.2903225806452,180.114247311828,0.2969086021505377,81.20698924731182,948.4458333333333,1.286962365591398,0
Sikkim ,2022,APR,27.533,88.5122,0.0,10.35141,0.0,0.0,13.61666666666667,0.2013888888888889,107.5763888888889,208.5305555555556,266.5472222222222,42.6025,65.14861111111111,162.1097222222222,160.0638888888889,0.8043055555555556,85.25861111111111,947.52125,1.16625,0
Sikkim ,2022,MAY,27.533,88.5122,0.0,11.609955,0.0,0.0,15.09677419354839,0.1951075268817204,91.93817204301075,279.0537634408602,284.877688172043,43.39879032258064,52.82123655913978,162.1075268817204,155.008064516129,0.7223118279569892,86.14879032258064,945.3065860215054,1.14502688172043,0
Sikkim ,2022,JUN,27.533,88.5122,0.0,0.0,0.0,0.0,16.92777777777778,0.192,80.90972222222223,313.75,283.6319444444445,61.81611111111111,31.21805555555556,140.4777777777778,134.0291666666667,1.503472222222222,91.65805555555556,944.4927777777779,1.221111111111111,0
Sikkim ,2022,JUL,27.533,88.5122,0.0,0.0,0.0,0.0,17.87096774193548,0.1912903225806452,51.17607526881721,380.9166666666667,294.2204301075269,54.90631720430108,60.17876344086022,179.611559139785,170.4879032258065,0.8814516129032257,88.09072580645162,946.6900537634409,1.029301075268817,0
Sikkim ,2022,AUG,27.533,88.5122,0.0,0.0,0.0,0.0,17.85752688172043,0.1909677419354839,52.72043010752688,356.2997311827957,296.8077956989247,54.49287634408602,56.75672043010753,173.0860215053764,168.1666666666667,0.9905913978494624,88.3491935483871,946.8052419354839,1.033870967741936,0
Sikkim ,2022,SEP,27.533,88.5122,0.0,0.0,0.0,0.0,16.87777777777778,0.1906666666666667,54.00694444444444,322.3805555555555,290.6291666666667,52.85527777777778,41.25555555555555,152.6833333333333,152.8652777777778,0.6866666666666666,88.9125,948.6724999999999,0.9550000000000001,0
Sikkim ,2022,OCT,27.533,88.5122,0.0,0.0,0.0,0.0,13.58198924731183,0.1903225806451613,42.67607526881721,318.4905913978495,282.3978494623656,31.84596774193549,162.7728494623656,178.9637096774194,205.3212365591398,0.500268817204301,82.91975806451613,951.238306451613,1.135752688172043,0
Sikkim ,2022,NOV,27.533,88.5122,0.0,0.0,0.0,0.0,9.783333333333333,0.19,48.45138888888889,258.0930555555556,246.7847222222222,17.61,192.1916666666667,170.2902777777778,215.7527777777778,0.1331944444444444,80.13888888888889,950.73125,1.222083333333333,0
